SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,mbID,Energy,ArtistFamiliarity,Hotness,end_of_fade_in,key,keyConfidence,Loudness,mode,mode_confidence,start_of_fade_out
1,"SOVLGJY12A8C13FBED",223563,"Call of the Mastodon","ARMQHX71187B9890D3",,"Atlanta GA",,"Mastodon",0.0,280.21506,5,0.555,173.205,5,0.12,"Deep Sea Creature",2001,bc5e2ad6-0a4a-4d90-b911-e9a7e6861727,0.0,0.780461748777,0.574274730517,0.238,5,0.555,-3.306,1,0.5,275.528
2,"SOGXWRE12AC468BE24",781922,"Out Of Time","ARTXS851187FB411C7",,"Essex England",,"Chris Farlowe",0.0,177.57995,7,0.345,146.913,1,0.0,"Paint It Black",1966,6bb0bcaa-f96f-4c1a-b51d-c766db2af8ae,0.0,0.543393231433,0.338575026457,0.346,7,0.345,-11.027,0,0.59,175.078
3,"SOIJPPR12A6D4F3945",85554,"Wolfgang Amadeus Mozart: Requiem Mass_ K 626_ 1791","ARYISOC1187B9998F1",36.03256,"Nashville Franklin Brentwood",-86.78916,"Choir & Great Symphony Orchestra of the All-Union Radio_ N. Shpiller_ S. Krassovsky_ V. Gagarina & N",0.0,541.23057,9,0.0,109.051,4,0.271,"Requiem Mass_ K. 626_ 1791: Agnus Dei (Larghetto) (Mozart)",0,7a4be8a7-ed4e-4be2-8f88-354d164f573e,0.0,0.48448555785,0.373952779351,0.827,9,0.0,-15.586,1,0.0,537.24
4,"SOIMSZI12AB0182252",440144,"Voices Of Americana: Delbert McClinton","ARJFOC01187FB413A5",33.59233,"Lubbock TX",-101.85587,"Delbert McClinton",0.0,114.31138,4,0.47,221.858,4,0.0,"Lose Your Money",2000,d0a2f884-96a6-4f21-9f20-0893fd34a55a,0.0,0.69992476451,0.449668690752,0.142,4,0.47,-10.261,1,0.305,107.735
5,"SOZECOE12AB017E615",619838,"The Very Best Of","ARQ8FR81187FB58D27",,"",,"Gloria De Haven",0.0,110.88934,0,0.293,100.296,4,1.0,"Diamonds Are A Girl's Best Friend",0,ebcf2655-9f48-406b-9e67-d5564358ee18,0.0,0.305466192465,0.0353079471744,0.136,0,0.293,-14.088,0,0.372,105.599
6,"SOMSKPE12A6D4FA09D",279570,"Now It's Spring","ARBXIDR1187B9AB77E",,"",,"Avril",0.0,651.59791,4,0.354,86.589,4,0.961,"The Matter With You (Part I_ Ii_ Iii)",2000,b7a4eab2-75c8-44ef-aa2d-06a6b3a36165,0.0,0.89717803847,0.438234413869,0.131,4,0.354,-10.718,0,0.427,606.064
7,"SOMUYIL12AB0184EE2",555518,"A Day In The Life","AR1QXAQ1187FB47FAC",,"Brookyln NY",,"Sticky Fingaz & Omar Epps",0.0,142.86322,1,0.607,87.897,4,1.0,"Don't Owe Me Nothin'",0,dd10cfe1-ced1-49f1-92cf-ac33265dc274,0.0,0.542512528352,0.403784234959,0.0,1,0.607,-9.532,1,0.704,137.033
8,"SOXNSGB12A8C1396F1",157333,"Elva First","ARCRR5X1187FB3BD4A",,"",,"Elva Hsiao",0.0,241.52771,11,0.605,121.968,4,0.943,"Gotta Let It Go",0,753e60ac-cfec-47e7-b1a6-d116cfd31050,0.0,0.482212869992,0.374531255441,0.386,11,0.605,-6.01,1,0.529,229.204
9,"SOVNVPF12A8C13AD4A",254710,"White African","ARSRFOY1187B9917DA",41.88415,"Chicago IL",-87.63241,"Otis Taylor",0.0,107.83302,4,0.805,217.289,1,0.0,"Round and Round",2001,f90c3011-d714-4beb-a181-1dc2b7d33239,0.0,0.590792957181,0.39488443784,0.833,4,0.805,-6.028,1,0.666,102.464
10,"SOYYANE12A8C132D08",281536,"Dion Chante Plamondon - Celine Dion Sings The Songs Of Luc Plamondon","ARFWL8S1187B9B4B44",,"Charlemagne Quebec Canada",,"Céline Dion",0.0,179.01669,3,0.601,80.999,7,0.854,"Un Garcon Pas Comme Les Autres (Ziggy)",0,847e8a0c-cc20-4213-9e16-975515c2a926,0.0,0.737437395434,0.663686475969,3.442,3,0.601,-14.403,1,0.56,173.819
