,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,ArtistFamiliarity,Hotness,end_of_fade_in,Loudness,start_of_fade_out
0,6dwkFmLUz6hx2CZG2EqLol,Howie Day,Stop All The World Now,Collide,66,249120,False,0.636,0.625,11,-7.895,1,0.0277,0.222,5.35e-05,0.119,0.342,93.931,acoustic,0.830642317395,0.546054180066,0.078,-12.316,268.011
1,3bat14NdN3flvcsEMpVOFq,Black Messiah,First War of the World,Gullveig,20,488533,False,0.558,0.969,9,-5.069,1,0.0649,0.00124,0.0735,0.334,0.541,124.019,black-metal,0.506776330414,0.427797718938,0.0,-5.461,480.885
2,6ZiaGtb94L6LtRbC3yHkJW,Old Man's Child,In Defiance of Existence,Life Deprived,18,289346,False,0.183,0.887,1,-5.99,1,0.058,2.99e-06,0.893,0.356,0.15,157.824,black-metal,0.635483455074,0.428441940289,0.217,-5.52,285.896
3,3e0tyTV5FiV1bcYeRjdDz2,Moonspell,Sin / Pecado,The Hanged Man,18,386333,False,0.404,0.636,4,-8.798,0,0.0325,0.0643,0.653,0.0795,0.0979,140.105,black-metal,0.72257057351,0.49982631354,0.177,-8.087,386.194
4,0zTdT65lUqepmx7N5dwVRj,Moonspell,Lisboa Under the Spell,Alma Mater,17,411506,False,0.337,0.955,9,-5.061,0,0.0839,5.98e-06,0.891,0.862,0.151,142.457,black-metal,0.72257057351,0.49982631354,0.0,-5.255,307.345
5,4Omq9NZlB47UugVnYYSVk7,Orbital,The Middle of Nowhere,I Don'T Know You People,17,467533,False,0.597,0.698,6,-8.996,1,0.0301,5.99e-05,0.684,0.281,0.619,137.065,breakbeat,0.693009203581,0.498668874796,0.0,-8.912,463.145
6,3MmAMXCl5e3oJFMzhpfXkM,The Crystal Method,Vegas,Keep Hope Alive,38,372666,False,0.545,0.971,5,-9.097,1,0.0567,0.00113,0.891,0.0876,0.35,125.035,breakbeat,0.740796616151,0.555741673066,0.183,-9.276,336.742
7,4BqNm3XXku3KlnI69MN50t,Plump DJs,Eargasm,Weighed Down,12,304466,False,0.885,0.912,0,-7.48,1,0.251,0.151,0.0141,0.28,0.396,134.023,breakbeat,0.630107321615,0.453000826092,0.0,-6.934,300.994
8,5TAYKGQpWt8lD50Gc6PhfE,Orbital,The Alltogether,Illuminate,42,328000,False,0.597,0.837,5,-6.382,1,0.0385,0.000863,0.0,0.107,0.531,125.971,breakbeat,0.693009203581,0.498668874796,0.38,-6.531,316.447
9,33OS65zxO1EiIFPQk0q5E5,The Crystal Method,Keep Hope Alive,More,13,359573,False,0.66,0.835,8,-11.132,0,0.0487,0.000916,0.000589,0.129,0.483,114.331,breakbeat,0.740796632166,0.555741673066,0.194,-10.851,350.79
10,7pLuEMFougkSHXrPBtNxTR,Sade,Diamond Life,Smooth Operator,56,298893,False,0.794,0.559,9,-6.491,0,0.0319,0.367,0.0107,0.0371,0.963,119.81,british,0.771492149522,0.517342285953,0.647,-6.375,287.277
11,5LC7nItIEFp4nzdFdEGbf9,Amy Winehouse,AMY (Original Motion Picture Soundtrack),Stronger Than Me,63,214493,False,0.883,0.458,9,-6.801,0,0.0411,0.0401,0.000419,0.0603,0.816,91.426,british,0.899709852629,0.583732613088,0.206,-7.758,249.156
12,4tReFKumS5bcFahdXDiM1b,Sade,The Best of Sade,Paradise,62,217466,False,0.738,0.792,1,-7.873,1,0.0378,0.309,0.39,0.0679,0.968,99.817,british,0.771492149522,0.517342285953,0.0,-8.183,271.986
13,68BY7HWkshsCSq5GkAlZVD,Black Tambourine,Black Tambourine,Dream Baby Dream,20,236720,False,0.393,0.803,5,-10.078,0,0.044,0.0116,0.725,0.106,0.169,131.455,club,0.575805715274,0.39717034145,3.065,-9.975,225.414
14,33CYBlwPouOP0CeLStTY3C,Big Jay Oakerson,An American Storyteller,It's All in How You Look at It,24,172533,True,0.422,0.916,1,-6.589,1,0.881,0.869,0.0,0.906,0.497,79.373,comedy,0.233787991346,0.265753663412,0.0,-8.33,167.787
15,2LkP2F5OeQUlVajuOOxKeT,George Lopez,Right Now Right Now,Memories,23,153506,True,0.383,0.697,11,-14.538,1,0.945,0.905,0.0,0.892,0.407,74.765,comedy,0.668020248723,0.516963730738,0.0,-16.016,150.134
16,3nFwh8bSIFzeVOnKZKzacA,George Lopez,Team Leader,Kids In the Store,21,260838,True,0.435,0.726,10,-14.431,1,0.937,0.847,0.0,0.885,0.362,85.097,comedy,0.668020248723,0.516963730738,0.0,-15.336,256.801
17,24XFlHs0ZBM65KzvSsw4IF,Lady Gaga,Karneval 2022 100%,Poker Face,1,238906,False,0.851,0.818,4,-4.637,1,0.0789,0.112,2.94e-06,0.0945,0.808,119.006,dance,0.939227164591,0.838447767795,0.967,-11.323,238.91
18,7IzNPxXYjS5XEvLUEVQk7K,Akon,TickTok Back To School 2022,Lonely,4,235266,True,0.627,0.627,5,-5.861,0,0.0341,0.367,0.0,0.294,0.555,90.061,dance,1.0,0.826777013491,0.175,-10.87,209.258
19,0bKs1y9PTFBddM9qj0JGvb,Dimmu Borgir,Puritanical Euphoric Misanthropia,Puritania,54,186488,False,0.303,0.969,8,-2.466,1,0.162,9.03e-05,0.844,0.417,0.163,109.384,death-metal,0.826075466699,0.59960264265,0.0,-3.086,184.123
20,5zaYEQmgngRKiLRjNG2Rxg,Scar Symmetry,Holographic Universe,The Three-Dimensional Shadow,23,237840,False,0.532,0.984,1,-3.435,1,0.101,1.62e-05,0.102,0.36,0.384,110.03,death-metal,0.718381342383,0.455825978803,3.117,-3.492,233.674
21,5jXJzGJahYnVqtwjBG8TMD,Finntroll,Jaktens Tid,Kitteldags,22,125466,False,0.453,0.922,1,-5.653,1,0.0795,8.94e-06,0.00391,0.342,0.791,110.975,death-metal,0.636436672421,0.429097811994,0.0,-5.059,119.983
22,7sOGRoSQfjkMkk1YOEqH84,Miguel Migs,Those Things,Mesmerized,26,344626,False,0.807,0.818,9,-4.595,0,0.0721,0.0217,0.228,0.0751,0.629,124.96,deep-house,0.658349215353,0.396963183629,4.04,-4.594,342.595
23,71XtHUldHc13WRGrKhTixL,Steel Pulse,Handsworth Revolution (Deluxe Edition),Ku Klux Klan,28,221266,False,0.751,0.476,9,-13.766,0,0.139,0.0305,0.0,0.0837,0.843,128.301,dub,0.698452538946,0.502974636418,0.171,-6.092,218.285
24,1Xs9iuEBZKS8RnqpFptfcC,Johnny Osbourne,Reggae & The Beach,We Need Love,28,217360,False,0.781,0.507,0,-10.073,1,0.162,0.668,3.74e-06,0.159,0.767,105.417,dub,0.618765785486,0.409134868797,0.164,-11.902,210.518
25,2vQQfWTanvD99OeHLAoyhW,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",From The Ritz To The Rubble,69,193426,False,0.216,0.882,11,-5.176,0,0.0439,0.00147,0.0,0.308,0.656,189.286,garage,0.816596710223,0.553661233298,0.061,-5.325,179.682
26,7BuzJmV2h6eBbSDdRaDY7C,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Fake Tales Of San Francisco,66,177946,False,0.454,0.778,9,-4.225,1,0.0449,0.00998,0.0,0.0427,0.704,127.158,garage,0.816596710223,0.57707587455,0.072,-4.385,173.186
