,SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistName,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,mbID,ArtistFamiliarity,Hotness,end_of_fade_in,key,keyConfidence,Loudness,mode,mode_confidence,start_of_fade_out,ArtistLower,SongLower
5685,5686,SOQXUNA12A6D4F9AFB,41971,The Early Years,AROPC1B1187FB567E3,Out Of The Grey,252.62975,0,0.404,153.642,4,0.513,The One I've Been Waiting For (Diamond Days Album Version),0,6dc557f0-3d47-446d-bb6d-df2ba2405ef7,0.431030787168,0.333858124563,0.0,0,0.404,-10.239,1,0.455,227.091,out of the grey,the one i've been waiting for (diamond days album version)
8270,8271,SOTBGCQ12AB0186F00,761602,Diamond Master Series - Mike Bloomfield,AR0569B1187B9A4036,Mike Bloomfield,153.91302,7,0.654,104.53,4,0.126,One Of These Days,0,1be2e508-905c-4d90-9bf2-7ab55f78b3e6,0.495066660974,0.347511764516,0.322,7,0.654,-27.749,1,0.525,141.996,mike bloomfield,one of these days
58,59,SOXCKCV12A6D4F8F1F,52666,Communication,ARB45GQ1187B98D2B4,DeGarmo & Key,171.75465,2,0.539,82.604,3,1.0,He Has Risen (Communication Album Version),0,cbee65fc-e11c-439b-b5b4-e068fb1c169a,0.421132725384,0.318834231458,0.368,2,0.539,-11.528,1,0.515,165.309,degarmo & key,he has risen (communication album version)
59,60,SOVHLHV12AB018930B,756725,Black Satin Vol1,AR0G47L1187B98CC6D,Frank Chacksfield,151.19628,5,1.0,116.716,4,0.374,Heidi,0,1ab5ec20-743e-4f11-9c37-237f190ae447,0.446256666541,0.346357522243,0.296,5,1.0,-16.538,1,0.9,148.248,frank chacksfield,heidi
60,61,SOOVFAZ12A8C134EEB,92051,Party Fiesta_ Vol. 7,AR6Q6PN1187B9A01E1,The Party Group,190.04036,6,0.686,122.91,4,0.514,El Ventilador,0,bb89afe4-81e8-45af-87bc-032703b7a953,0.188667694917,0.0,1.083,6,0.686,-21.761,0,0.573,183.606,the party group,el ventilador
62,63,SOGHCFG12A8C13B254,155871,Treat Me Bad EP,ARTXEZN1187B9B8190,Agnes,371.06893,6,0.0,122.965,4,1.0,Non Conformist Acclaimed,0,7ac63de9-e1fc-4d08-8141-fbf975b86098,0.7375404029,0.441355562048,0.149,6,0.0,-11.338,1,0.0,348.421,agnes,non conformist acclaimed
7559,7560,SOIHCDS12AC4687731,782426,Tribute To Arsenio Rodriguez,ARKYRYH11F4C84282E,Orquesta Harlow,281.59955,9,0.627,124.001,4,0.0,El Terror,0,,0.395013463912,0.306804126114,0.156,9,0.627,-9.076,0,0.587,276.468,orquesta harlow,el terror
7562,7563,SOKEEIT12A58A7E185,395976,Music For My Peoples,ARPZBNS1187B98E279,Huey Dunbar,200.80281,11,0.654,100.029,4,0.636,Sin Poderte Hablar,0,b0c6024b-54bb-4214-bd73-16dcb508f055,0.638864203353,0.332809831723,0.394,11,0.654,-7.024,1,0.32,193.55,huey dunbar,sin poderte hablar
7563,7564,SOJABTU12A58A7E1CA,350855,Spread The Germs,AR6137D1187B9A39C8,Scalplock,52.03546,5,0.303,98.032,5,0.0,Safe in Numbers (Album Version),0,a4a03b84-6424-469a-b841-3df4886b8d30,0.0671524570134,0.0,0.316,5,0.303,-8.704,1,0.457,52.035,scalplock,safe in numbers (album version)
7565,7566,SOVJWKQ12A8C145462,478734,Moon's Tune,ARKEFM61187B9A8202,Moon Mullican,170.52689,0,0.584,74.6,4,0.441,Mona Lisa,0,da009937-d372-4ba9-833f-02c89a9b1f1d,0.38671617536,0.281887097439,0.0,0,0.584,-17.881,1,0.486,165.994,moon mullican,mona lisa
